game_pk,date,sp_fip_diff,sp_whip_diff,sp_k_rate_diff,sp_last5_fip_diff,bullpen_score_diff,ops_14d_diff,ops_vs_hand_diff,rpg_14d_diff,home_field,park_factor,home_won
824379,2026-04-05,-2.51,-0.7199999999999998,-0.0169999999999999,-2.7299999999999995,-47.7,-0.128,0.061,-1.13,1,112,1
825025,2026-04-05,1.3199999999999994,0.31,-0.094,1.129999999999999,9.9,-0.282,0.006,-3.17,1,96,1
823238,2026-04-05,-3.830000000000001,-0.73,-0.035,-7.43,-35.7,-0.147,0.0629999999999999,-2.22,1,95,0
824053,2026-04-05,5.489999999999999,2.26,-0.03,6.55,-25.0,0.003,-0.038,0.3399999999999998,1,101,1
825102,2026-04-05,1.6100000000000003,0.4499999999999999,-0.0269999999999999,2.0200000000000005,-30.9,-0.134,0.015,-1.6699999999999997,1,103,1
824296,2026-04-05,-0.6600000000000001,-0.5800000000000001,-0.0119999999999999,-0.7800000000000002,13.6,0.0619999999999999,-0.005,0.5,1,98,0
823002,2026-04-06,-3.5400000000000005,-0.1300000000000001,0.04,-3.69,5.5,0.0949999999999999,0.005,0.8899999999999997,1,96,1
824456,2026-04-06,0.7300000000000004,0.01,0.0199999999999999,-0.3200000000000003,37.60000000000001,-0.0879999999999999,-0.0209999999999999,-1.0199999999999996,1,97,0
823401,2026-04-06,-2.1100000000000003,-0.07,0.078,-1.0999999999999996,-2.1000000000000014,0.131,0.1009999999999999,1.44,1,99,0
823886,2026-04-06,-1.96,-0.3399999999999998,0.021,0.9500000000000002,25.0,0.168,0.007,2.5500000000000003,1,96,0
822755,2026-04-06,1.8200000000000005,0.1500000000000001,-0.0529999999999999,0.5099999999999998,-4.5,0.139,0.005,1.67,1,100,1
824783,2026-04-06,1.0500000000000007,0.6399999999999999,-0.0509999999999999,7.38,17.4,-0.1519999999999999,-0.0709999999999999,-3.34,1,107,0
822832,2026-04-06,5.109999999999999,0.6799999999999999,-0.0159999999999999,8.15,20.8,-0.1559999999999999,-0.155,-2.22,1,101,0
823728,2026-04-06,0.48,0.03,0.012,1.2799999999999998,-13.099999999999994,-0.0749999999999999,0.005,-0.4500000000000002,1,102,1
824619,2026-04-06,-2.3500000000000005,-0.1999999999999999,0.175,-2.16,1.1999999999999955,-0.0409999999999999,-0.029,0.1100000000000003,1,99,0
822918,2026-04-06,-0.4599999999999999,-0.09,0.0369999999999999,-0.4500000000000002,-21.0,0.0589999999999999,-0.05,0.2999999999999998,1,102,1
824376,2026-04-06,-0.0600000000000005,-0.4599999999999999,-0.046,-0.0200000000000004,-22.3,-0.272,0.023,-3.67,1,112,1
824052,2026-04-06,1.06,0.1799999999999999,-0.0319999999999999,2.27,-67.8,-0.1049999999999999,-0.036,-0.8000000000000007,1,101,1
823237,2026-04-06,0.1499999999999994,-0.01,-0.0169999999999999,0.5800000000000001,-37.2,-0.1289999999999999,0.037,-1.4,1,95,0
824457,2026-04-07,0.31,-0.1099999999999998,0.0699999999999999,0.6499999999999999,54.3,-0.1009999999999999,0.01,-1.1100000000000003,1,97,1
824618,2026-04-07,1.16,1.07,0.0579999999999999,3.630000000000001,1.3999999999999986,-0.056,0.023,0.0,1,99,0
823648,2026-04-07,-0.9900000000000002,-0.2299999999999999,0.079,-1.58,-4.900000000000006,0.0849999999999999,0.004,1.4000000000000004,1,97,1
823402,2026-04-07,1.4700000000000002,-0.1999999999999998,-0.06,0.2000000000000001,-4.899999999999999,0.0949999999999999,0.1009999999999999,0.7999999999999998,1,99,1
822999,2026-04-07,0.5099999999999998,0.4199999999999999,0.0129999999999999,0.8700000000000001,-37.0,0.122,0.01,1.0,1,96,0
823887,2026-04-07,-0.6499999999999995,-0.1899999999999999,0.0069999999999999,1.16,21.5,0.128,0.007,2.1000000000000005,1,96,0
822754,2026-04-07,-1.56,-0.1100000000000001,0.031,-1.17,6.900000000000002,0.151,0.062,1.8000000000000007,1,100,0
824780,2026-04-07,2.6099999999999994,0.73,-0.13,5.9,-12.800000000000004,-0.131,-0.0059999999999998,-3.2,1,107,1
823567,2026-04-07,-3.16,-0.5599999999999999,0.118,-3.46,11.900000000000006,0.0329999999999999,0.001,0.7799999999999994,1,99,1
822831,2026-04-07,-0.1800000000000001,0.19,-0.002,1.5799999999999998,4.0,-0.2279999999999999,-0.083,-3.2,1,101,0
823727,2026-04-07,1.77,0.3600000000000001,-0.005,3.35,-13.099999999999994,-0.033,-0.025,0.0,1,102,1
822916,2026-04-07,1.2599999999999998,-0.1400000000000001,0.018,0.0100000000000006,-6.899999999999992,0.075,-0.05,0.3499999999999996,1,102,1
824375,2026-04-07,-0.08,0.1199999999999998,-0.01,0.91,-4.300000000000004,-0.247,0.008,-3.1,1,112,1
824051,2026-04-07,-1.2600000000000002,0.1100000000000001,0.027,-0.0899999999999998,-35.7,-0.0849999999999999,-0.03,-0.3700000000000001,1,101,0
823235,2026-04-07,3.1,0.2999999999999998,-0.0799999999999999,4.49,-30.300000000000004,-0.13,0.0409999999999999,-1.4700000000000002,1,95,1
823403,2026-04-08,-0.4700000000000002,0.1200000000000001,-0.034,0.5800000000000001,-31.4,0.118,0.1009999999999999,1.2800000000000002,1,99,0
824455,2026-04-08,-1.41,0.07,-0.0829999999999999,0.79,27.700000000000003,-0.0809999999999999,0.0309999999999999,-0.91,1,97,1
824779,2026-04-08,0.91,0.03,-0.0499999999999999,-1.95,-29.200000000000003,-0.118,-0.015,-2.8100000000000005,1,107,1
824617,2026-04-08,-0.6500000000000004,-0.31,0.007,-1.1800000000000006,19.599999999999994,-0.0819999999999999,-0.029,-0.1899999999999999,1,99,0
822915,2026-04-08,0.3900000000000001,0.27,0.016,-0.6600000000000001,-37.5,0.067,0.0629999999999999,0.3999999999999999,1,102,1
